rank,stadium,capacity,city,state,year opened,type,tenant
238,Brown Stadium,"20,000",Providence,Rhode Island,1925,Football,"Brown Bears (NCAA)
"
239,Happy State Bank Stadium,"20,000",Canyon,Texas,1959,Football,"West Texas A&M Buffaloes (NCAA) Local high school teams
"
240,Roy Kidd Stadium,"20,000",Richmond,Kentucky,1969,Football,"Eastern Kentucky Colonels (NCAA)
"
241,Central Broward Park,"20,000",Lauderhill,Florida,1969,Multipurpose,"Floridians FC, Fort Lauderdale Fighting Squids
"
242,War Memorial Stadium,"20,000",Wailuku,Hawaii,1969,Multipurpose,"Local high school teams
"
243,Riccardo Silva Stadium,"20,000",Miami,Florida,1995,Football,"FIU Golden Panthers (NCAA)Miami FC (USL Championship)
"
244,SeatGeek Stadium,"20,000",Bridgeview,Illinois,2006,Soccer,"Chicago Red Stars (NWSL)Chicago House AC (NISA)  Chicago Hounds (MLR)
"
245,Audi Field,"20,000","Washington, D.C.",District of Columbia,2018,Multipurpose,"D.C. United (MLS)Washington Spirit (NWSL)  DC Defenders (XFL)
"
246,Historic Crew Stadium,"19,968",Columbus,Ohio,1999,Soccer,"
"
247,Bragg Memorial Stadium,"19,633",Tallahassee,Florida,1957,Football,"Florida A&M Rattlers (NCAA)
"
248,Eddie G. Robinson Memorial Stadium,"19,600",Grambling,Louisiana,1983,Football,"Grambling State Tigers (NCAA)
"
249,Memorial Stadium,"19,468",Bakersfield,California,1955,Multipurpose,"Bakersfield Renegades (CCCAA)
"
250,Mesquite Memorial Stadium,"19,400",Mesquite,Texas,1977,Football,"Local high school teams
"
251,Allianz Field,"19,400",St. Paul,Minnesota,2019,Soccer,"Minnesota United FC (MLS)
"
252,Dana J. Dykhouse Stadium,"19,340",Brookings,South Dakota,2016,Football,"South Dakota State Jackrabbits (NCAA)
"
253,Fargodome,"18,700",Fargo,North Dakota,1992,Multi-purpose,"North Dakota State Bison (NCAA)
"
254,Subaru Park,"18,500",Chester,Pennsylvania,2010,Soccer,"Philadelphia Union (MLS)
"
255,UC Stadium at Laidley Field,"18,500",Charleston,West Virginia,1979,"Football, track","Charleston Golden Eagles (NCAA)
"
256,Children's Mercy Park,"18,467",Kansas City,Kansas,2011,Soccer,"Sporting Kansas City (MLS)Kansas City Current (NWSL)
"
257,Dick's Sporting Goods Park,"18,061",Commerce City,Colorado,2007,Soccer,"Colorado Rapids (MLS)
"
258,PayPal Park,"18,000",San Jose,California,2015,Soccer,"San Jose Earthquakes (MLS) Bay FC (NWSL)
"
259,Ratliff Stadium,"17,931",Odessa,Texas,1982,Football,"Local high school teams
"
260,Cowboy Stadium,"17,610",Lake Charles,Louisiana,1965,Football,"McNeese Cowboys (NCAA)
"
261,Robert W. Plaster Stadium,"17,500",Springfield,Missouri,1941,Football,"Missouri State Bears (NCAA)
"
262,Stewart Stadium,"17,312",Ogden,Utah,1966,Football,"Weber State Wildcats (NCAA)
"
263,Robert K. Kraft Field at Lawrence A. Wien Stadium,"17,000", New York,New York,1923,Multi-purpose,"Columbia Lions (NCAA)
"
264,Warren McGuirk Alumni Stadium,"17,000",Hadley,Massachusetts,1965,Multi-purpose,"UMass Minutemen (NCAA)
"
265,Harder Stadium,"17,000",Santa Barbara,California,1966,Soccer,"UC Santa Barbara Gauchos (NCAA)
"
266,Pendleton Round Up Stadium,"17,000",Pendleton,Oregon,,"Rodeo, football","Pendleton Round Up
"
267,Clarence T. C. Ching Athletics Complex,"16,909",Honolulu,Hawaii,2015,Multi-purpose,"Hawaii Rainbow Warriors (NCAA)
"
268,Roy Stewart Stadium,"16,800",Murray,Kentucky,1973,Football,"Murray State Racers (NCAA)
"
269,Sahlen Field,"16,600",Buffalo,New York,1988,Baseball,"Buffalo Bisons (IL)
"
270,Paul Brown Tiger Stadium,"16,600",Massillon,Ohio,1939,Football,"Washington High School (high school)
"
271,Tucker Stadium,"16,500",Cookeville,Tennessee,1966,Football,"Tennessee Tech Golden Eagles (NCAA)
"
272,Hanson Field,"16,368",Macomb,Illinois,1950,Football,"Western Illinois Leathernecks (NCAA)
"
273,UNI-Dome,"16,324",Cedar Falls,Iowa,1976,Football,"Northern Iowa Panthers (NCAA)
"
274,Stadium 1,"16,100",Indian Wells,California,2014,Tennis,"
"
275,Provost Umphrey Stadium,"16,000",Beaumont,Texas,1964,Football,"Lamar Cardinals (NCAA)
"
276,Stallworth Stadium,"16,000",Baytown,Texas,1969,"Football, soccer","
"
277,Kibbie Dome,"16,000",Moscow,Idaho,1971,Football,"Idaho Vandals (NCAA)
"
278,Paladin Stadium,"16,000",Greenville,South Carolina,1981,"Football, soccer","Furman Paladins (NCAA) Greenville Triumph SC (USL League One) Greenville Liberty SC (USL W League)
"
279,Goodman Stadium,"16,000",Bethlehem,Pennsylvania,1988,Football,"Lehigh Mountain Hawks (NCAA)
"
280,Simmons Bank Field,"16,000",Pine Bluff,Arkansas,2000,Football,"Arkansas–Pine Bluff Golden Lions (NCAA)
"
281,Harry Turpin Stadium,"15,971",Natchitoches,Louisiana,1975,Football,"Northwestern State Demons (NCAA)
"
282,Hersheypark Stadium,"15,641",Hershey,Pennsylvania,1939,"Football, soccer","
"
283,James R. Hallford Stadium,"15,600",Clarkston,Georgia,1968,Football,"
"
284,Jerry Richardson Stadium,"15,314",Charlotte,North Carolina,2013,Football,"Charlotte 49ers (NCAA)
"
285,Stadium Bowl,"15,000",Tacoma,Washington,1910,Football,"
"
286,Quigley Stadium,"15,000[citation needed]",Little Rock,Arkansas,1936,Football,"
"
287,Greenway Avenue Stadium,"15,000",Cumberland,Maryland,1937,Football,"
"
288,J. Birney Crum Stadium,"15,000",Allentown,Pennsylvania,1948,"Football, soccer","
"
289,Dick Bivins Stadium,"15,000",Amarillo,Texas,1950,Football,"
"
290,Saluki Stadium,"15,000",Carbondale,Illinois,2010,Football,"Southern Illinois Salukis (NCAA)
"
291,Sloan Park,"15,000",Mesa,Arizona,2014,Baseball,"Mesa Solar Sox (AFL)
"
292,Panther Stadium at Blackshear Field,"15,000",Prairie View,Texas,2016,Football,"Prairie View A&M Panthers (NCAA)
"
293,Rocky Stadium,"15,000",Rock Island,Illinois,,"Football, soccer","
"
294,Watson Memorial Stadium,"15,000",Hobbs,New Mexico,,Football,"
"
295,Homer Bryce Stadium,"14,575",Nacogdoches,Texas,1973,Football,"Stephen F. Austin Lumberjacks (NCAA)
"
296,Drake Stadium,"14,557",Cedar Falls,Iowa,1925,"Football, soccer","Drake Bulldogs (NCAA)
"
297,Smith's Ballpark,"14,511",Salt Lake City,Utah,1994,Baseball,"Salt Lake Bees (PCL)
"
298,Braly Municipal Stadium,"14,215",Florence,Alabama,1949,Football,"North Alabama Lions (NCAA)
"
299,Louis Armstrong Stadium,"14,053", New York,New York,2018,Tennis,"
"
300,Bowers Stadium,"14,000",Huntsville,Texas,1986,Football,"Sam Houston Bearkats (NCAA)
"
301,Rhodes Stadium,"14,000",Elon,North Carolina,2001,Football,"Elon Phoenix (NCAA)
"
302,Rochester Community Sports Complex Stadium,"13,768",Rochester,New York,2006,Soccer,"Flower City Union (NISA)
"
303,Bob Waters Field at EJ Whitmire Stadium,"13,742",Cullowhee,North Carolina,1974,Football,"Western Carolina Catamounts (NCAA)
"
304,McAllen Veterans Memorial Stadium,"13,500",McAllen,Texas,1976,"Football, soccer","
"
305,Innovative Field,"13,500",Rochester,New York,1996,Baseball,"Rochester Red Wings (IL)
"
306,Hancock Stadium,"13,391",Normal,Illinois,1963,Football,"Illinois State Redbirds (NCAA)
"
307,Fisher Stadium,"13,132",Easton,Pennsylvania,1926,Football,"Lafayette Leopards (NCAA)
"
308,Louisville Slugger Field,"13,131",Louisville,Kentucky,2000,Baseball,"Louisville Bats (IL)
"
309,Christy Mathewson–Memorial Stadium,"13,100",Lewisburg,Pennsylvania,1924,Football,"Bucknell Bison (NCAA)
"
310,Gibbs Stadium,"13,000",Spartanburg,South Carolina,1996,Football,"Wofford Terriers (NCAA)
"
311,Camelback Ranch,"13,000",Phoenix,Arizona,2009,Baseball,"Glendale Desert Dogs (AFL)
"
312,Tommy Standridge Stadium,"13,000",Carrollton,Texas,,"Football, soccer","
"
313,Memorial Stadium,"12,764",Terre Haute,Indiana,1924,"Football, soccer","Indiana State Sycamores (NCAA)
"
314,Pasadena Memorial Stadium,"12,700",Pasadena,Texas,1965,"Football, soccer","
"
315,Zable Stadium,"12,672",Williamsburg,Virginia,1935,Football,"William & Mary Tribe (NCAA)
"
316,Hayward Field,"12,650",Eugene,Oregon,1919,Track and Field,"Oregon Ducks (NCAA)
"
317,Villanova Stadium,"12,500",Villanova,Pennsylvania,1927,"Field lacrosse, football","Villanova Wildcats (NCAA)
"
318,Pennington Field,"12,500",Bedford,Texas,1987,"Football, soccer","
"
319,Dutch Clark Stadium,"12,500",Pueblo,Colorado,,Football,"
"
320,Joy and Ralph Ellis Stadium,"12,500",Irving,Texas,,"Football, soccer","
"
321,Kenneth P. LaValle Stadium,"12,300",Stony Brook,New York,2002,Football,"Stony Brook Seawolves (NCAA)
"
322,Alerus Center,"12,283",Grand Forks,North Dakota,2001,Multi-purpose,"North Dakota Fighting Hawks (NCAA)
"
323,Victory Field,"12,230",Indianapolis,Indiana,1996,Baseball,"Indianapolis Indians (IL)
"
324,Wheeling Island Stadium,"12,220",Wheeling,West Virginia,1927,"Football, soccer","
"
325,Swayze Field,"12,152",Oxford,Mississippi,1988,Baseball,"Ole Miss Rebels (NCAA)
"
326,The Diamond,"12,134",Richmond,Virginia,1985,Baseball,"Richmond Flying Squirrels (Eastern)VCU Rams (NCAA)
"
327,IU Michael A. Carroll Track & Soccer Stadium,"12,111",Indianapolis,Indiana,1982,Soccer,"Indy Eleven (USL Championship)IUPUI Jaguars (NCAA)
"
328,Harbor Park,"12,067",Norfolk,Virginia,1993,Baseball,"Norfolk Tides (IL)
"
329,Armstrong Stadium,"12,000",Hampton,Virginia,1928,Football,"Hampton Pirates (NCAA)
"
330,Memorial Stadium,"12,000",Seattle,Washington,1947,Multi-purpose,"Seattle Cascades (AUDL)
"
331,John F. Kennedy Stadium,"12,000",Bridgeport,Connecticut,1964,Multi-purpose,"
"
332,Holt Arena,"12,000",Pocatello,Idaho,1970,Football,"Idaho State Bengals (NCAA)
"
333,Scottsdale Stadium,"12,000",Scottsdale,Arizona,1992,Baseball,"Scottsdale Scorpions (AFL)
"
334,CH Collins Stadium,"12,000",Denton,Texas,2004,"Football, soccer","
"
335,Ford Center,"12,000",Frisco,Texas,2016,Football,"
"
336,Anthony Field at Wildcat Stadium,"12,000",Abilene,Texas,2017,Football,"Abilene Christian Wildcats (NCAA)
"
337,Bobby Morrow Stadium,"12,000",San Benito,Texas,,"Football, soccer","
"
338,Burger Stadium,"12,000",Austin,Texas,,"Football, soccer","
"
339,Field of Dreams,"12,000",Las Cruces,New Mexico,,Football,"
"
340,Jones-Cowart Stadium,"12,000",Houston,Texas,,"Football, soccer","
"
341,James M. Shuart Stadium,"11,929",Hempstead,New York,1963,Multi-purpose,"
"
342,Lynn Family Stadium,"11,700",Louisville,Kentucky,2020,Soccer,Louisville City FC (USL Championship) Racing Louisville FC (NWSL)
343,Dell Diamond,"11,631",Round Rock,Texas,2000,Baseball,"Round Rock Express (PCL)
"
344,Ernest Hawkins Field at Memorial Stadium,"11,582",Commerce,Texas,1950,Football,"Texas A&M–Commerce Lions (NCAA)
"
345,Heart Health Park,"11,569",Sacramento,California,2014,Soccer,"Sacramento Republic FC (USL Championship)
"
346,Principal Park,"11,500",Des Moines,Iowa,1992,Baseball,"Iowa Cubs (IL)
"
347,Kino Sports Complex,"11,500",Tucson,Arizona,1998,Baseball,"Tucson Saguaros (Pecos)
"
348,Manual Stadium,"11,500",Louisville,Kentucky,,Football,"
"
349,Center Court,"11,435",Mason,Ohio,1981,Tennis,"
"
350,Johnson Hagood Stadium,"11,427",Charleston,South Carolina,1948,Football,"The Citadel Bulldogs (NCAA)
"
351,Peoria Sports Complex,"11,333",Peoria,Arizona,1994,Baseball,"Peoria Javelinas (AFL)
"
352,Rebel Stadium,"11,244",West Monroe,Louisiana,1950,Football,"
"
353,Walkup Skydome,"11,230",Flagstaff,Arizona,1977,Football,"Northern Arizona Lumberjacks (NCAA)
"
354,Johnny Unitas Stadium,"11,198",Towson,Maryland,1978,Football,"Towson Tigers (NCAA)
"
355,Isotopes Park,"11,124",Albuquerque,New Mexico,2003,"Baseball, soccer","Albuquerque Isotopes (PCL)New Mexico United (USL Championship)
"
356,Alex G. Spanos Stadium,"11,075",San Luis Obispo,California,1935,"Football, soccer","Cal Poly Mustangs (NCAA)
"
357,George M. Steinbrenner Field,"11,026",Tampa,Florida,1996,Baseball,"Tampa Tarpons (FSL)
"
358,Wildcat Stadium,"11,015",Durham,New Hampshire,1936,Football,"New Hampshire Wildcats (NCAA)
"
359,Memorial Field,"11,000",Hanover,New Hampshire,1893,Football,"Dartmouth Big Green (NCAA)
"
360,Atwood Stadium,"11,000",Flint,Michigan,1929,"Football, soccer","Flint City Bucks (USL League Two)
"
361,Welcome Stadium,"11,000",Dayton,Ohio,1949,Football,"Dayton Flyers (NCAA)
"
362,121 Financial Ballpark,"11,000",Jacksonville,Florida,2003,Baseball,"Jacksonville Jumbo Shrimp (IL)
"
363,Salt River Fields at Talking Stick,"11,000",Scottsdale,Arizona,2011,Baseball,"Salt River Rafters (AFL)
"
364,Cy-Fair FCU Stadium,"11,000",Cypress,Texas,,"Football, soccer","
"
365,Kelly Reeves Stadium,"11,000",Austin,Texas,,Football,"
"
366,Union-Tuttle Stadium,"11,000",Tulsa,Oklahoma,,Football,"
"
367,NBT Bank Stadium,"10,815",Syracuse,New York,1997,Baseball,"Syracuse Mets (IL)
"
368,UC Davis Health Stadium,"10,743",Davis,California,2007,Football,"UC Davis Aggies (NCAA)
"
369,Baum–Walker Stadium,"10,737",Fayetteville,Arkansas,1996,Baseball,"Arkansas Razorbacks (NCAA)
"
370,Surprise Stadium,"10,714",Surprise,Arizona,2002,Baseball,"Surprise Saguaros (AFL)
"
371,Chukchansi Park,"10,650",Fresno,California,2002,Baseball,"Fresno Grizzlies (CL)
"
372,Sutter Health Park,"10,624",Sacramento,California,2000,Baseball,"Sacramento River Cats (PCL)
"
373,American Legion Memorial Stadium,"10,500",Charlotte,North Carolina,1936,"Football, soccer","Charlotte Independence (USL League One)
"
374,Manning Field at John L. Guidry Stadium,"10,500",Thibodaux,Louisiana,1972,Football,"Nicholls Colonels (NCAA)
"
375,Greater Zion Stadium,"10,500",St. George,Utah,1985,Football,"Utah Tech Trailblazers (NCAA)
"
376,Hohokam Stadium,"10,500",Mesa,Arizona,1997,Baseball,"
"
377,Lubbers Stadium,"10,444",Allendale,Michigan,1972,Football,Grand Valley State Lakers (NCAA)
378,Coolray Field,"10,427",Lawrenceville,Georgia,2009,Baseball,"Gwinnett Stripers (IL)
"
379,Mansion Park,"10,400",Altoona,Pennsylvania,,"Football, soccer, track and field","
"
380,Alex Box Stadium,"10,326",Baton Rouge,Louisiana,2009,Baseball,"LSU Tigers (NCAA)
"
381,Crown Field at Andy Kerr Stadium,"10,221",Hamilton,New York,1939,"Football, field lacrosse","Colgate Raiders (NCAA)
"
382,Credit One Stadium,"10,200",Charleston,South Carolina,2001,Tennis,"
"
383,Truist Field,"10,200",Charlotte,North Carolina,2014,Baseball,"Charlotte Knights (IL)
"
384,Five Star Stadium,"10,200",Macon,Georgia,2013,Football,"Mercer Bears (NCAA)
"
385,Cavalier Stadium,"10,200",Roebuck,South Carolina,,Football,"
"
386,Huntington Park,"10,100",Columbus,Ohio,2009,Baseball,"Columbus Clippers (IL)
"
387,Riverfront Stadium,"10,025",Wichita,Kansas,2021,Baseball,"Wichita Wind Surge (Texas)
"
388,Tiger Stadium,"10,001",Corsicana,Texas,2006,"Football, soccer","
"
389,William H. Greene Stadium,"10,000","Washington, D.C.",District of Columbia,1926,Football,"Howard Bison (NCAA)
"
390,Mitchell Stadium,"10,000",Bluefield,West Virginia,1936,Football,"
"
391,Hughes Stadium,"10,000",Baltimore,Maryland,1937,Football,"Morgan State Bears (NCAA)
"
392,Estes Stadium,"10,000",Conway,Arkansas,1939,Football,"Central Arkansas Bears (NCAA)
"
393,Fortera Stadium,"10,000",Clarksville,Tennessee,1946,Football,"Austin Peay Governors (NCAA)
"
394,Alfond Stadium,"10,000",Orono,Maine,1947,Football,"Maine Black Bears (NCAA)
"
395,FirstEnergy Stadium,"10,000",Reading,Pennsylvania,1951,Baseball,"Reading Fightin Phils (Eastern)
"
396,Howard Wood Field,"10,000",Sioux Falls,South Dakota,1957,"Football, soccer","
"
397,Rice–Totten Stadium,"10,000",Itta Bena,Mississippi,1958,Football,"Mississippi Valley State Delta Devils (NCAA)
"
398,Alumni Memorial Field,"10,000",Lexington,Virginia,1962,Football,"VMI Keydets (NCAA)
"
399,Jayne Stadium,"10,000",Morehead,Kentucky,1964,Football,"Morehead State Eagles (NCAA)
"
400,O'Brien Field,"10,000",Charleston,Illinois,1970,Football,"Eastern Illinois Panthers (NCAA)
"
401,O'Kelly–Riddick Stadium,"10,000",Durham,North Carolina,1975,Football,"North Carolina Central Eagles (NCAA)
"
402,PNC Field,"10,000",Moosic,Pennsylvania,1989,Baseball,"Scranton/Wilkes-Barre RailRiders (IL)
"
403,Northwestern Medicine Field,"10,000",Geneva,Illinois,1991,Baseball,"Kane County Cougars (American Association)
"
404,Prince George's Stadium,"10,000",Bowie,Maryland,1994,Baseball,"Bowie Baysox (Eastern)
"
405,Durham Bulls Athletic Park,"10,000",Durham,North Carolina,1995,Baseball,"Durham Bulls (IL)
"
406,Gold Mine on Airline,"10,000",Metairie,Louisiana,1997,Multipurpose,"New Orleans Gold (MLR)
"
407,American Family Fields of Phoenix,"10,000",Phoenix,Arizona,1998,Baseball,"
"
408,Autozone Park,"10,000",Memphis,Tennessee,2000,"Baseball, Soccer","Memphis Redbirds (IL)Memphis 901 FC (USL Championship)
"
409,WakeMed Soccer Park,"10,000",Cary,North Carolina,2002,Soccer,"North Carolina Courage (NWSL)North Carolina FC (USL League One)Carolina Flyers (AUDL)
"
410,First Horizon Park,"10,000",Nashville,Tennessee,2015,Baseball,"Nashville Sounds (IL)
"
411,Wild Horse Pass Stadium,"10,000",Chandler,Arizona,2021,Soccer,"Phoenix Rising FC (USL Championship)
"
412,Dub Farris Stadium,"10,000[citation needed]",San Antonio,Texas,,"Football, soccer","
"
413,Jerry Comalander Stadium,"10,000",San Antonio,Texas,,"Football, soccer","
"
414,"Nathaniel ""Traz"" Powell Stadium","10,000[citation needed]",Miami,Florida,,Football,"
"
415,Sams Memorial Stadium,"10,000[citation needed]",Brownsville,Texas,,"Football, soccer","
"
416,Waller ISD Stadium,"10,000",Waller,Texas,,Football,"
"
417,Rip Hewes Stadium,"10,000",Dothan,Alabama,,multipurpose,"
"
418,Withington Stadium,"10,000",Jackson,Michigan,,multipurpose,"
"
419,Kingston Stadium,"10,000",Cedar Rapids,Iowa,1952,"Football, soccer","
"
420,Suplizio Field,"10,000",Grand Junction,Colorado,1949,Baseball,"Grand Junction Jackalopes (Pioneer)
"
421,Houck Stadium,"10,000",Cape Girardeau,Missouri,1930,Football,"Southeast Missouri State Redhawks (NCAA)
"
422,Reitz Bowl,"10,000",Evansville,Indiana,,Football,"
"
